timestamp,stream_name,frame_id,elapsed_seconds,people_count,vehicle_count,bag_count,activity_index,bar_entries_total,bar_entries_per_hour_estimate,bar_passersby_total,bar_retention_total_percent,bar_seated_count,observed_bar_revenue_eur,projected_daily_bar_revenue_eur,events_in_sample
2026-05-22T16:07:33+02:00,bondi_chaweng_samui,1,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,
2026-05-22T16:07:38+02:00,bondi_chaweng_samui,40,5.18,32,0,0,39.0,0,0.0,9,0.0,23,0.0,0.0,BAR_OCCUPANCY_HIGH|BAR_PASSERBY_DETECTED|LOW_BAR_RETENTION
2026-05-22T16:07:44+02:00,bondi_chaweng_samui,82,10.35,30,0,0,62.5,2,695.94,9,22.22,25,14.0,58458.96,BAR_ENTRY_DETECTED
2026-05-22T16:07:49+02:00,bondi_chaweng_samui,124,15.35,31,0,0,63.25,2,468.94,9,22.22,29,14.0,39390.96,CROWD_DETECTED|HIGH_ACTIVITY
2026-05-22T16:07:54+02:00,bondi_chaweng_samui,151,20.53,25,0,0,58.75,3,526.14,9,33.33,29,21.0,44195.76,BAR_ENTRY_DETECTED|HIGH_BAR_RETENTION
2026-05-22T16:07:59+02:00,bondi_chaweng_samui,193,25.54,27,0,0,60.25,3,422.79,9,33.33,28,21.0,35514.36,
2026-05-22T16:08:04+02:00,bondi_chaweng_samui,238,30.81,36,0,0,67.0,3,350.56,9,33.33,25,21.0,29447.04,
2026-05-22T16:08:09+02:00,bondi_chaweng_samui,283,36.02,32,0,0,64.0,3,299.83,9,33.33,29,21.0,25185.72,
2026-05-22T16:08:15+02:00,bondi_chaweng_samui,321,41.05,29,0,0,61.75,3,263.08,9,33.33,30,21.0,22098.72,
2026-05-22T16:08:19+02:00,bondi_chaweng_samui,364,46.17,24,0,0,58.0,3,233.93,9,33.33,32,21.0,19650.12,
2026-05-22T16:08:25+02:00,bondi_chaweng_samui,409,51.28,23,0,0,57.25,3,210.61,9,33.33,27,21.0,17691.24,
2026-05-22T16:08:30+02:00,bondi_chaweng_samui,448,56.37,23,0,0,57.25,3,191.59,9,33.33,23,21.0,16093.56,
2026-05-22T16:08:35+02:00,bondi_chaweng_samui,493,61.59,25,1,0,60.0,3,175.35,9,33.33,24,21.0,14729.4,BAR_OCCUPANCY_HIGH
2026-05-22T16:08:40+02:00,bondi_chaweng_samui,538,66.73,21,1,0,57.0,3,161.84,9,33.33,26,21.0,13594.56,
2026-05-22T16:08:45+02:00,bondi_chaweng_samui,583,71.77,17,2,0,55.25,3,150.47,9,33.33,24,21.0,12639.48,
2026-05-22T16:08:50+02:00,bondi_chaweng_samui,619,76.85,18,1,0,54.75,4,187.37,9,44.44,23,28.0,15739.08,BAR_ENTRY_DETECTED
2026-05-22T16:08:55+02:00,bondi_chaweng_samui,664,82.08,19,2,0,56.0,4,175.45,9,44.44,19,28.0,14737.8,HIGH_BAR_RETENTION
2026-05-22T16:09:01+02:00,bondi_chaweng_samui,709,87.22,21,3,1,59.5,4,165.11,9,44.44,20,28.0,13869.24,
2026-05-22T16:09:06+02:00,bondi_chaweng_samui,740,92.3,19,2,0,56.0,5,195.02,9,55.56,19,35.0,16381.68,BAR_ENTRY_DETECTED
